"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"12/22/2014","AQS","090030025","1","9.2","ug/m3 LC","38","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/25/2014","AQS","090030025","1","3.1","ug/m3 LC","13","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/28/2014","AQS","090030025","1","8.5","ug/m3 LC","35","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/31/2014","AQS","090030025","1","8.9","ug/m3 LC","37","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/01/2014","AQS","090030025","3","9.5","ug/m3 LC","40","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/02/2014","AQS","090030025","3","9.1","ug/m3 LC","38","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/03/2014","AQS","090030025","3","7","ug/m3 LC","29","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/04/2014","AQS","090030025","3","15","ug/m3 LC","57","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/05/2014","AQS","090030025","3","28","ug/m3 LC","84","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/06/2014","AQS","090030025","3","9.6","ug/m3 LC","40","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/07/2014","AQS","090030025","3","8","ug/m3 LC","33","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/08/2014","AQS","090030025","3","13.5","ug/m3 LC","54","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/09/2014","AQS","090030025","3","16.1","ug/m3 LC","59","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/10/2014","AQS","090030025","3","30.7","ug/m3 LC","90","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/11/2014","AQS","090030025","3","13.4","ug/m3 LC","54","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"01/12/2014","AQS","090030025","3","4.7","ug/m3 LC","20","Huntley Place-Hartford","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
